orbit_type,season,season_key,epoch_utc,time_s,in_eclipse,+X_direct,+X_albedo,+X_ir,+X,-X_direct,-X_albedo,-X_ir,-X,+Y_direct,+Y_albedo,+Y_ir,+Y,-Y_direct,-Y_albedo,-Y_ir,-Y,+Z_direct,+Z_albedo,+Z_ir,+Z,-Z_direct,-Z_albedo,-Z_ir,-Z
noon,冬至,winter,2026-12-21T00:00:00+00:00,0.0,True,0.0,0.0,0.0,0.0,0.0,1.7290043668754532e-18,4.241819825195014e-18,5.970824192070468e-18,0.0,0.0,0.0,0.0,0.0,4.686796434206776e-18,1.1498262475298698e-17,1.6185058909505475e-17,0.0,22.965496256319273,56.34196140958284,79.3074576659021,0.0,0.0,0.0,0.0
noon,冬至,winter,2026-12-21T00:00:30+00:00,30.0,True,0.0,0.0,0.0,0.0,0.0,2.0676952838001878e-16,5.0301940529855185e-16,7.097889336785707e-16,0.0,2.1125396200354023e-17,5.1392892930858267e-17,7.251828913121229e-17,0.0,0.0,0.0,0.0,0.0,23.15974426821621,56.34196140958284,79.50170567779904,0.0,0.0,0.0,0.0
noon,冬至,winter,2026-12-21T00:01:00+00:00,60.0,True,0.0,0.0,0.0,0.0,0.0,4.841087409265129e-16,1.1686965745950066e-15,1.6528053155215195e-15,0.0,1.659561131216713e-17,4.006379652786323e-17,5.665940784003036e-17,0.0,0.0,0.0,0.0,0.0,23.33850940632326,56.34196140958285,79.68047081590612,0.0,0.0,0.0,0.0
noon,冬至,winter,2026-12-21T00:01:30+00:00,90.0,True,0.0,0.0,0.0,0.0,0.0,8.784153165701189e-17,2.1058836693481726e-16,2.9842989859182917e-16,0.0,0.0,0.0,0.0,0.0,8.494513172048942e-17,2.036446340431369e-16,2.8858976576362634e-16,0.0,23.501602955636734,56.34196140958285,79.84356436521958,0.0,0.0,0.0,0.0
noon,冬至,winter,2026-12-21T00:02:00+00:00,120.0,True,0.0,0.0,0.0,0.0,0.0,5.374197321545001e-16,1.2803700093313443e-15,1.8177897414858443e-15,0.0,0.0,0.0,0.0,0.0,2.2198386939451252e-20,5.288631435035408e-20,7.508470128980533e-20,0.0,23.648852745004657,56.34196140958285,79.99081415458751,0.0,0.0,0.0,0.0
noon,冬至,winter,2026-12-21T00:02:30+00:00,150.0,True,0.0,0.0,0.0,0.0,0.0,7.33076532215286e-16,1.7368709091428657e-15,2.4699474413581517e-15,0.0,4.4201212344569755e-17,1.0472549112728082e-16,1.4892670347185057e-16,0.0,0.0,0.0,0.0,0.0,23.780103328880784,56.34196140958284,80.12206473846362,0.0,0.0,0.0,0.0
noon,冬至,winter,2026-12-21T00:03:00+00:00,180.0,True,0.0,0.0,0.0,0.0,0.0,1.3520753756937208e-15,3.1880263462546353e-15,4.5401017219483565e-15,0.0,1.368843102088968e-17,3.227562569216621e-17,4.5964056713055887e-17,0.0,0.0,0.0,0.0,0.0,23.895216151422066,56.34196140958284,80.2371775610049,0.0,0.0,0.0,0.0
noon,冬至,winter,2026-12-21T00:03:30+00:00,210.0,True,0.0,0.0,0.0,0.0,0.0,8.187446534944748e-16,1.922545039760981e-15,2.7412896932554555e-15,0.0,2.6773503675605507e-17,6.286852252270019e-17,8.96420261983057e-17,0.0,0.0,0.0,0.0,0.0,23.994069692756334,56.34196140958284,80.33603110233918,0.0,0.0,0.0,0.0
noon,冬至,winter,2026-12-21T00:04:00+00:00,240.0,True,0.0,0.0,0.0,0.0,0.0,1.8548222914724945e-15,4.3405007906380805e-15,6.1953230821105746e-15,0.0,0.0,0.0,0.0,0.0,1.8577407913056757e-16,4.347330421105452e-16,6.205071212411127e-16,0.0,24.076559597265852,56.34196140958284,80.41852100684869,0.0,0.0,0.0,0.0
noon,冬至,winter,2026-12-21T00:04:30+00:00,270.0,True,0.0,0.0,0.0,0.0,0.0,1.1283565141665652e-15,2.6332632931054337e-15,3.761619807271999e-15,0.0,0.0,0.0,0.0,0.0,1.6522075054719678e-16,3.855782567060528e-16,5.507990072532496e-16,0.0,24.142598783751247,56.34196140958285,80.48456019333409,0.0,0.0,0.0,0.0
noon,冬至,winter,2026-12-21T00:05:00+00:00,300.0,True,0.0,0.0,0.0,0.0,0.0,6.205089594838578e-16,1.4451273972007893e-15,2.0656363566846472e-15,0.0,0.0,0.0,0.0,0.0,2.1426687261984777e-16,4.990144351711474e-16,7.132813077909952e-16,0.0,24.19211753735951,56.34196140958284,80.53407894694234,0.0,0.0,0.0,0.0
