orbit_type,season,season_key,epoch_utc,time_s,in_eclipse,+X_direct,+X_albedo,+X_ir,+X,-X_direct,-X_albedo,-X_ir,-X,+Y_direct,+Y_albedo,+Y_ir,+Y,-Y_direct,-Y_albedo,-Y_ir,-Y,+Z_direct,+Z_albedo,+Z_ir,+Z,-Z_direct,-Z_albedo,-Z_ir,-Z
noon,秋分,autumn,2026-09-21T00:00:00+00:00,0.0,True,0.0,0.0,0.0,0.0,0.0,6.218830112031051e-18,1.4439892455994354e-17,2.0658722568025406e-17,0.0,0.0,0.0,0.0,0.0,2.929769239537192e-17,6.802815316976161e-17,9.732584556513354e-17,0.0,24.26479887247037,56.34196140958284,80.6067602820532,0.0,0.0,0.0,0.0
noon,秋分,autumn,2026-09-21T00:00:30+00:00,30.0,True,0.0,0.0,0.0,0.0,0.0,1.3148541602451994e-16,3.054963209268727e-16,4.3698173695139264e-16,0.0,4.1378633873088284e-17,9.614009519391258e-17,1.3751872906700087e-16,0.0,0.0,0.0,0.0,0.0,24.24954321250157,56.34196140958284,80.59150462208441,0.0,0.0,0.0,0.0
noon,秋分,autumn,2026-09-21T00:01:00+00:00,60.0,True,0.0,3.3901573337785774e-16,7.88714348279758e-16,1.1277300816576157e-15,0.0,0.0,0.0,0.0,0.0,1.3677502735992292e-17,3.1820477914189174e-17,4.549798065018147e-17,0.0,0.0,0.0,0.0,0.0,24.21765422282086,56.34196140958284,80.5596156324037,0.0,0.0,0.0,0.0
noon,秋分,autumn,2026-09-21T00:01:30+00:00,90.0,True,0.0,1.6372802210159804e-16,3.8167465389816893e-16,5.45402675999767e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8967336736625165e-17,1.141502295170283e-16,1.6311756625365346e-16,0.0,24.16916556732304,56.34196140958284,80.51112697690587,0.0,0.0,0.0,0.0
noon,秋分,autumn,2026-09-21T00:02:00+00:00,120.0,True,0.0,0.0,0.0,0.0,0.0,2.158992220915982e-16,5.046515443613517e-16,7.205507664529499e-16,0.0,0.0,0.0,0.0,0.0,9.070390761235541e-17,2.120149698212638e-16,3.027188774336192e-16,0.0,24.104128433487393,56.34196140958284,80.44608984307023,0.0,0.0,0.0,0.0
noon,秋分,autumn,2026-09-21T00:02:30+00:00,150.0,True,0.0,0.0,0.0,0.0,0.0,9.947577452063824e-16,2.3330770071702437e-15,3.327834752376626e-15,0.0,0.0,0.0,0.0,0.0,4.5722636034445853e-17,1.0723659237963261e-16,1.5295922841407846e-16,0.0,24.022611478341116,56.34196140958284,80.36457288792396,0.0,0.0,0.0,0.0
noon,秋分,autumn,2026-09-21T00:03:00+00:00,180.0,True,0.0,4.655621112336818e-16,1.0963849777027851e-15,1.561947088936467e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.593064221753177e-16,3.7516190409431256e-16,5.344683262696303e-16,0.0,23.92470075598097,56.34196140958284,80.26666216556382,0.0,0.0,0.0,0.0
noon,秋分,autumn,2026-09-21T00:03:30+00:00,210.0,True,0.0,0.0,0.0,0.0,0.0,2.448610282053938e-16,5.794061787083143e-16,8.242672069137081e-16,0.0,1.960130309421841e-17,4.638188529535208e-17,6.59831883895705e-17,0.0,0.0,0.0,0.0,0.0,23.81049962672948,56.34196140958284,80.15246103631232,0.0,0.0,0.0,0.0
noon,秋分,autumn,2026-09-21T00:04:00+00:00,240.0,True,0.0,1.4183360016198243e-15,3.374636745301728e-15,4.792972746921552e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9657366319294571e-16,4.677063165652414e-16,6.642799797581871e-16,0.0,23.680128648021704,56.34196140958284,80.02209005760454,0.0,0.0,0.0,0.0
noon,秋分,autumn,2026-09-21T00:04:30+00:00,270.0,True,0.0,0.0,0.0,0.0,0.0,4.206448538071516e-16,1.00706350864753e-15,1.4277083624546815e-15,0.0,0.0,0.0,0.0,0.0,1.7482665802509373e-16,4.18551531160749e-16,5.933781891858427e-16,0.0,23.533725447137694,56.34196140958283,79.87568685672052,0.0,0.0,0.0,0.0
noon,秋分,autumn,2026-09-21T00:05:00+00:00,300.0,True,0.0,0.0,0.0,0.0,0.0,5.994593376557552e-16,1.4451273972007893e-15,2.0445867348565446e-15,0.0,1.1734568437285466e-16,2.8288734994711396e-16,4.002330343199686e-16,0.0,0.0,0.0,0.0,0.0,23.371444575915078,56.34196140958285,79.71340598549793,0.0,0.0,0.0,0.0
noon,秋分,autumn,2026-09-21T00:05:30+00:00,330.0,True,0.0,6.324463521617413e-16,1.5363499901330264e-15,2.168796342294768e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2837152586852587e-16,7.976859836469698e-16,1.1260575095154957e-15,0.0,23.193457347594943,56.34196140958283,79.53541875717778,0.0,0.0,0.0,0.0
noon,秋分,autumn,2026-09-21T00:06:00+00:00,360.0,True,0.0,1.7212690372873587e-16,4.2165164138145544e-16,5.937785451101913e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1172754545361404e-16,1.0085907059367583e-15,1.4203182513903724e-15,0.0,22.999951655973657,56.34196140958284,79.3419130655565,0.0,0.0,0.0,0.0
noon,秋分,autumn,2026-09-21T00:06:30+00:00,390.0,True,0.0,0.0,0.0,0.0,0.0,5.247067912989194e-19,1.297127763373191e-18,1.8218345546721105e-18,0.0,0.0,0.0,0.0,0.0,3.827825278364875e-16,9.462767633743445e-16,1.329059291210832e-15,0.0,22.791131777050943,56.34196140958283,79.13309318663377,0.0,0.0,0.0,0.0
noon,秋分,autumn,2026-09-21T00:07:00+00:00,420.0,True,0.0,1.8460769865578393e-15,4.608968532533237e-15,6.455045519091077e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.452227474605304e-16,3.6256725918111386e-16,5.077900066416443e-16,0.0,22.567218153384236,56.34196140958285,78.90917956296708,0.0,0.0,0.0,0.0
noon,秋分,autumn,2026-09-21T00:07:30+00:00,450.0,True,0.0,0.0,0.0,0.0,0.0,2.256949881826731e-15,5.69502134323099e-15,7.95197122505772e-15,0.0,0.0,0.0,0.0,0.0,2.915000290278805e-16,7.355497347254256e-16,1.027049763753306e-15,0.0,22.328447161376435,56.34196140958284,78.67040857095927,0.0,0.0,0.0,0.0
