orbit_type,season,season_key,epoch_utc,time_s,in_eclipse,+X_direct,+X_albedo,+X_ir,+X,-X_direct,-X_albedo,-X_ir,-X,+Y_direct,+Y_albedo,+Y_ir,+Y,-Y_direct,-Y_albedo,-Y_ir,-Y,+Z_direct,+Z_albedo,+Z_ir,+Z,-Z_direct,-Z_albedo,-Z_ir,-Z
noon,春分,spring,2026-03-21T00:00:00+00:00,0.0,True,0.0,1.9820328358293793e-18,4.601938643579374e-18,6.583971479408753e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.057206039876925e-18,1.174196082060068e-17,1.6799166860477606e-17,0.0,24.266211742007723,56.34196140958283,80.60817315159055,0.0,0.0,0.0,0.0
noon,春分,spring,2026-03-21T00:00:30+00:00,30.0,True,0.0,2.0510359595706788e-16,4.764054641913886e-16,6.815090601484565e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.172699360739077e-17,5.0466489515761425e-17,7.21934831231522e-17,0.0,24.256520457828685,56.34196140958284,80.59848186741152,0.0,0.0,0.0,0.0
noon,春分,spring,2026-03-21T00:01:00+00:00,60.0,True,0.0,2.929782444450531e-18,6.812563161496611e-18,9.742345605947142e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8348095022440614e-17,6.59172452255935e-17,9.426534024803412e-17,0.0,24.230188478346808,56.34196140958284,80.57214988792964,0.0,0.0,0.0,0.0
noon,春分,spring,2026-03-21T00:01:30+00:00,90.0,True,0.0,1.638504872613362e-16,3.8167465389816893e-16,5.455251411595051e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9003963287403876e-17,1.141502295170283e-16,1.6315419280443215e-16,0.0,24.187243601149788,56.34196140958282,80.52920501073261,0.0,0.0,0.0,0.0
noon,春分,spring,2026-03-21T00:02:00+00:00,120.0,True,0.0,0.0,0.0,0.0,0.0,2.1611063029932184e-16,5.046515443613517e-16,7.207621746606736e-16,0.0,0.0,0.0,0.0,0.0,9.079272474822135e-17,2.120149698212638e-16,3.028076945694852e-16,0.0,24.127731161378193,56.34196140958283,80.46969257096103,0.0,0.0,0.0,0.0
noon,春分,spring,2026-03-21T00:02:30+00:00,150.0,True,0.0,0.0,0.0,0.0,0.0,3.283936912670065e-16,7.692734369337209e-16,1.0976671282007275e-15,0.0,0.0,0.0,0.0,0.0,4.5778027317323085e-17,1.0723659237963261e-16,1.5301461969695568e-16,0.0,24.051713983866915,56.34196140958283,80.39367539344974,0.0,0.0,0.0,0.0
noon,春分,spring,2026-03-21T00:03:00+00:00,180.0,True,0.0,0.0,0.0,0.0,0.0,8.637719333197158e-16,2.03122216277026e-15,2.894994096089976e-15,0.0,0.0,0.0,0.0,0.0,7.641119809678371e-17,1.7968645781474723e-16,2.5609765591153093e-16,0.0,23.95927231682366,56.34196140958282,80.30123372640648,0.0,0.0,0.0,0.0
noon,春分,spring,2026-03-21T00:03:30+00:00,210.0,True,0.0,0.0,0.0,0.0,0.0,2.452724202468638e-16,5.794061787083143e-16,8.246785989551781e-16,0.0,1.9634235325837724e-17,4.638188529535208e-17,6.601612062118981e-17,0.0,0.0,0.0,0.0,0.0,23.850503747114228,56.34196140958284,80.19246515669707,0.0,0.0,0.0,0.0
noon,春分,spring,2026-03-21T00:04:00+00:00,240.0,True,0.0,0.0,0.0,0.0,0.0,5.544917207092412e-16,1.3167739654078403e-15,1.8712656861170816e-15,0.0,0.0,0.0,0.0,0.0,1.969504919384683e-16,4.677063165652414e-16,6.646568085037097e-16,0.0,23.725523097243972,56.34196140958283,80.0674845068268,0.0,0.0,0.0,0.0
noon,春分,spring,2026-03-21T00:04:30+00:00,270.0,True,0.0,8.876489227188387e-16,2.1205436318255153e-15,3.008192554544354e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7520357051900063e-16,4.18551531160749e-16,5.937551016797496e-16,0.0,23.58446230414453,56.34196140958285,79.92642371372739,0.0,0.0,0.0,0.0
