orbit_type,season,season_key,epoch_utc,time_s,in_eclipse,+X_direct,+X_albedo,+X_ir,+X,-X_direct,-X_albedo,-X_ir,-X,+Y_direct,+Y_albedo,+Y_ir,+Y,-Y_direct,-Y_albedo,-Y_ir,-Y,+Z_direct,+Z_albedo,+Z_ir,+Z,-Z_direct,-Z_albedo,-Z_ir,-Z
noon,夏至,summer,2026-06-21T00:00:00+00:00,0.0,True,0.0,1.394331878309207e-18,3.4208002959720346e-18,4.8151321742812414e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0750278617905724e-18,1.4904240110217902e-17,2.0979267972008473e-17,0.0,22.965208747307337,56.34196140958284,79.30717015689018,0.0,0.0,0.0,0.0
noon,夏至,summer,2026-06-21T00:00:30+00:00,30.0,True,0.0,0.0,0.0,0.0,0.0,2.0316189107409885e-16,5.0301940529855185e-16,7.061812963726506e-16,0.0,2.0756808197896204e-17,5.1392892930858267e-17,7.214970112875447e-17,0.0,0.0,0.0,0.0,0.0,22.755661722435946,56.34196140958283,79.09762313201878,0.0,0.0,0.0,0.0
noon,夏至,summer,2026-06-21T00:01:00+00:00,60.0,True,0.0,0.0,0.0,0.0,0.0,4.673598524422374e-16,1.1686965745950066e-15,1.636056427037244e-15,0.0,0.0,0.0,0.0,0.0,2.3063709107260584e-17,5.767392661191944e-17,8.073763571918002e-17,0.0,22.531058397098324,56.34196140958284,78.87301980668116,0.0,0.0,0.0,0.0
noon,夏至,summer,2026-06-21T00:01:30+00:00,90.0,True,0.0,0.0,0.0,0.0,0.0,3.9267765136960283e-16,9.924901520530786e-16,1.3851678034226815e-15,0.0,3.543769380017462e-17,8.956853537621108e-17,1.250062291763857e-16,0.0,0.0,0.0,0.0,0.0,22.29163587578708,56.34196140958283,78.63359728536992,0.0,0.0,0.0,0.0
noon,夏至,summer,2026-06-21T00:02:00+00:00,120.0,True,0.0,0.0,0.0,0.0,0.0,1.1124726850227157e-15,2.8441735795678667e-15,3.956646264590583e-15,0.0,7.643776088783816e-17,1.9542255996521497e-16,2.718603208530531e-16,0.0,0.0,0.0,0.0,0.0,22.037646907010522,56.34196140958284,78.37960831659336,0.0,0.0,0.0,0.0
noon,夏至,summer,2026-06-21T00:02:30+00:00,150.0,True,0.0,0.0,0.0,0.0,0.0,1.2753118265832118e-15,3.300674479379388e-15,4.5759863059626e-15,0.0,4.0463747095856826e-17,1.0472549112728082e-16,1.4518923822313764e-16,0.0,0.0,0.0,0.0,0.0,21.7693596164764,56.34196140958283,78.11132102605923,0.0,0.0,0.0,0.0
noon,夏至,summer,2026-06-21T00:03:00+00:00,180.0,True,0.0,0.0,0.0,0.0,0.0,1.2158132734455726e-15,3.1880263462546353e-15,4.403839619700208e-15,0.0,8.685711668286579e-17,2.277510719717315e-16,3.146081886545973e-16,0.0,0.0,0.0,0.0,0.0,21.487057224042676,56.34196140958284,77.82901863362551,0.0,0.0,0.0,0.0
noon,夏至,summer,2026-06-21T00:03:30+00:00,210.0,True,0.0,0.0,0.0,0.0,0.0,1.3112668273772967e-15,3.4863486099975034e-15,4.7976154373748e-15,0.0,1.7068813569306229e-16,4.538194150818309e-16,6.245075507748931e-16,0.0,0.0,0.0,0.0,0.0,21.191037744733933,56.34196140958284,77.53299915431677,0.0,0.0,0.0,0.0
noon,夏至,summer,2026-06-21T00:04:00+00:00,240.0,True,0.0,0.0,0.0,0.0,0.0,1.0291072088345807e-15,2.7766972204015575e-15,3.805804429236138e-15,0.0,1.2866864038550545e-16,3.471687430077161e-16,4.758373833932216e-16,0.0,0.0,0.0,0.0,0.0,20.8816136741392,56.34196140958285,77.22357508372205,0.0,0.0,0.0,0.0
noon,夏至,summer,2026-06-21T00:04:30+00:00,270.0,True,0.0,0.0,0.0,0.0,0.0,9.608745012564848e-16,2.6332632931054337e-15,3.594137794361918e-15,0.0,1.446179626991229e-16,3.9632352841220853e-16,5.409414911113315e-16,0.0,0.0,0.0,0.0,0.0,20.55911165852317,56.34196140958285,76.90107306810603,0.0,0.0,0.0,0.0
